Timestamp,Commander Name,Date and Time,Targetted System,Current System,Screenshot,Accuracy,Permit Lock
03/09/2022 13:04:50,Martind Forlon,03/09/2022 11:41:00,Oochorrs CS-F c13-0,Oochorrs DS-F c13-0,https://cdn.discordapp.com/attachments/344094711339941890/1015561780770123796/From.jpg,5,
03/09/2022 13:06:16,Martind Forlon,03/09/2022 11:41:00,Oochorrs UF-J c11-0,Oochorrs DS-F c13-0,https://cdn.discordapp.com/attachments/344094711339941890/1015561781017575444/To.jpg,5,
03/09/2022 18:56:45,CodexNecro81,31/08/2022 20:28:00,Outotz AL-N d7-1,Oochorrs YV-I c11-0,https://cdn.discordapp.com/attachments/1015411592164286586/1015680238669271173/unknown.png,2,
03/09/2022 18:58:20,CodexNecro81,31/08/2022 23:20:00,Outotz CW-L d8-0,Oochorrs YV-I c11-0,https://cdn.discordapp.com/attachments/1015411592164286586/1015680542290751498/unknown.png,1,
03/09/2022 19:35:31,aran ilyaris,03/09/2022 18:31:00,Oochorrs GL-O d6-0,Oochorrs YL-H c12-0,https://cdn.discordapp.com/attachments/1015411592164286586/1015691388421144586/20220903203151_1.jpg,3,
03/09/2022 20:25:18,CodexNecro81,01/09/2022 22:26:00,HD 267704,Oochorrs BH-H c12-0,https://cdn.discordapp.com/attachments/344094711339941890/1015026951192326175/unknown.png,1,
03/09/2022 20:26:38,aran ilyaris,03/09/2022 19:20:00,Outotz CQ-O c6-0,Oochorrs FN-F c13-0,https://cdn.discordapp.com/attachments/805203782186172417/1015704288368013415/20220903212028_1.jpg,2,
03/09/2022 21:21:54,aran ilyaris,03/09/2022 20:18:00,NGC 2264 Sector TU-W a60-0,Oochorrs NI-R d5-0,https://cdn.discordapp.com/attachments/805203782186172417/1015718225226498078/20220903221829_1.jpg,1,yes
03/09/2022 22:23:27,aran ilyaris,03/09/2022 21:20:00,NGC 2264 Sector XL-L d8-0,Oochorrs NI-R d5-1,https://cdn.discordapp.com/attachments/805203782186172417/1015733737381703770/20220903232004_1.jpg,2,yes
03/09/2022 22:31:16,Daest,31/08/2022 14:17:00,Outotz KB-G b39-0,Oochorrs WP-K c10-0,https://cdn.discordapp.com/attachments/344094711339941890/1014539394021072996/unknown.png,2,
03/09/2022 22:33:24,Daest,31/08/2022 15:18:00,Oochorrs QJ-E b3-0,Oochorrs AM-H c12-0,https://cdn.discordapp.com/attachments/344094711339941890/1014554765272817744/unknown.png,1,
03/09/2022 22:37:15,Daest,31/08/2022 22:16:00,NGC 1746 Sector YG-K c9-0,Oochorrs BB-J c11-0,https://cdn.discordapp.com/attachments/344094711339941890/1014661510448025601/unknown.png,1,
03/09/2022 22:39:55,Daest,02/09/2022 23:17:00,Oochoxt YR-F b16-0,Oochorrs XL-H c12-0,https://cdn.discordapp.com/attachments/344094711339941890/1015218984305565706/unknown.png,1,
03/09/2022 22:40:55,Daest,02/09/2022 23:40:00,Oochoxt PJ-C b18-0,Oochorrs XL-H c12-0,https://cdn.discordapp.com/attachments/344094711339941890/1015406350890713098/unknown.png,1,
03/09/2022 22:41:41,Daest,02/09/2022 23:53:00,Oochorrs JX-Z c1-0,Oochorrs DS-F c13-0,https://cdn.discordapp.com/attachments/344094711339941890/1015409353349660812/unknown.png,2,
03/09/2022 22:46:38,Daest,31/08/2022 23:23:00,Flame Sector CV-X b1-0,Oochorrs AV-W d2-0,https://cdn.discordapp.com/attachments/490250707153453056/1014676938293514390/unknown.png,1,
03/09/2022 22:47:40,Daest,31/08/2022 23:46:00,NGC 2232 Sector QP-F b11-0,Oochorrs MM-A c2-0,https://cdn.discordapp.com/attachments/490250707153453056/1014682910726574191/unknown.png,1,
04/09/2022 02:47:00,CodexNecro81,04/09/2022 01:45:00,Outotch SR-Z c14-0,Oochorrs AH-H c12-0,https://cdn.discordapp.com/attachments/1015411592164286586/1015799691574775819/unknown.png,2,
04/09/2022 03:01:32,CodexNecro81,04/09/2022 01:59:00,Oochoxt VO-H d10-0,Oochorrs KN-R d5-1,https://cdn.discordapp.com/attachments/1015411592164286586/1015803447272030368/unknown.png,2,
04/09/2022 07:38:40,aran ilyaris,04/09/2022 06:31:00,Col 97 Sector FB-L a38-0,Oochorrs AH-H c12-0,https://cdn.discordapp.com/attachments/805203782186172417/1015873410431197184/20220904083127_1.jpg,1,yes
04/09/2022 19:14:00,CodexNecro81,04/09/2022 18:08:00,Outotz IM-K c22-2,Oochorrs AH-H c12-0,https://cdn.discordapp.com/attachments/1015411592164286586/1016047880403951677/Elite_Dangerous_Screenshot_2022.09.04_-_19.07.35.66.png,2,
04/09/2022 19:15:49,CodexNecro81,04/09/2022 17:59:00,Oochoxt UC-O c21-0,Oochorrs KN-R d5-1,https://cdn.discordapp.com/attachments/1015411592164286586/1016047881192484945/Elite_Dangerous_Screenshot_2022.09.04_-_18.59.03.13.png,2,
